,Posição,Nome,Plataforma,Ano,Gênero,Marca
0,1,Wii Sports,Wii,2006,Sports,Nintendo
1,2,Super Mario Bros.,NES,1985,Platform,Nintendo
2,3,Mario Kart Wii,Wii,2008,Racing,Nintendo
3,3,Mario Kart Wii,Wii,2008,Racing,Nintendo
4,4,Wii Sports Resort,Wii,2009,Sports,Nintendo
5,5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo
6,6,Tetris,GB,1989,Puzzle,Nintendo
7,7,New Super Mario Bros.,DS,2006,Platform,Nintendo
8,8,Wii Play,Wii,2006,Misc,Nintendo
9,9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo
10,10,Duck Hunt,NES,1984,Shooter,Nintendo
11,11,Nintendogs,DS,2005,Simulation,Nintendo
12,12,Mario Kart DS,DS,2005,Racing,Nintendo
13,13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo
14,14,Wii Fit,Wii,2007,Sports,Nintendo
